,model,ratio,mean_accuracy,n2,n1
0,RAM4,1/2,0.885,1,2
1,RAM8,1/2,0.875,1,2
2,RAM16,1/2,0.9,1,2
3,RAM24,1/2,0.9025,1,2
4,All RAMs,1/2,0.890625,1,2
5,VGG7,1/2,0.96,1,2
6,VGG9,1/2,1.0,1,2
7,VGG11,1/2,1.0,1,2
8,VGG13,1/2,1.0,1,2
9,All CNNs,1/2,0.99,1,2
10,RAM4,2/3,0.8425,2,3
11,RAM8,2/3,0.8875,2,3
12,RAM16,2/3,0.8825,2,3
13,RAM24,2/3,0.8725,2,3
14,All RAMs,2/3,0.8713,2,3
15,VGG7,2/3,0.9,2,3
16,VGG9,2/3,1.0,2,3
17,VGG11,2/3,1.0,2,3
18,VGG13,2/3,1.0,2,3
19,All CNNs,2/3,0.975,2,3
20,RAM4,3/4,0.8225,3,4
21,RAM8,3/4,0.85,3,4
22,RAM16,3/4,0.8,3,4
23,RAM24,3/4,0.8625,3,4
24,All RAMs,3/4,0.83375,3,4
25,VGG7,3/4,0.8775,3,4
26,VGG9,3/4,0.99,3,4
27,VGG11,3/4,0.995,3,4
28,VGG13,3/4,1.0,3,4
29,All CNNs,3/4,0.965625,3,4
30,RAM4,4/5,0.815,4,5
31,RAM8,4/5,0.82,4,5
32,RAM16,4/5,0.775,4,5
33,RAM24,4/5,0.8125,4,5
34,All RAMs,4/5,0.805625,4,5
35,VGG7,4/5,0.845,4,5
36,VGG9,4/5,0.995,4,5
37,VGG11,4/5,0.9875,4,5
38,VGG13,4/5,0.9975,4,5
39,All CNNs,4/5,0.95625,4,5
40,RAM4,5/6,0.7525,5,6
41,RAM8,5/6,0.835,5,6
42,RAM16,5/6,0.8225,5,6
43,RAM24,5/6,0.805,5,6
44,All RAMs,5/6,0.80375,5,6
45,VGG7,5/6,0.7575,5,6
46,VGG9,5/6,0.9775,5,6
47,VGG11,5/6,0.9725,5,6
48,VGG13,5/6,0.97,5,6
49,All CNNs,5/6,0.919375,5,6
50,RAM4,6/7,0.75,6,7
51,RAM8,6/7,0.7625,6,7
52,RAM16,6/7,0.7725,6,7
53,RAM24,6/7,0.7725,6,7
54,All RAMs,6/7,0.764375,6,7
55,VGG7,6/7,0.825,6,7
56,VGG9,6/7,0.9625,6,7
57,VGG11,6/7,0.9575,6,7
58,VGG13,6/7,0.97,6,7
59,All CNNs,6/7,0.92875,6,7
60,RAM4,7/8,0.7525,7,8
61,RAM8,7/8,0.7775,7,8
62,RAM16,7/8,0.78,7,8
63,RAM24,7/8,0.75,7,8
64,All RAMs,7/8,0.765,7,8
65,VGG7,7/8,0.8425,7,8
66,VGG9,7/8,0.96,7,8
67,VGG11,7/8,0.9475,7,8
68,VGG13,7/8,0.97,7,8
69,All CNNs,7/8,0.93,7,8
70,RAM4,8/9,0.76,8,9
71,RAM8,8/9,0.795,8,9
72,RAM16,8/9,0.7275,8,9
73,RAM24,8/9,0.7525,8,9
74,All RAMs,8/9,0.75875,8,9
75,VGG7,8/9,0.8225,8,9
76,VGG9,8/9,0.965,8,9
77,VGG11,8/9,0.965,8,9
78,VGG13,8/9,0.965,8,9
79,All CNNs,8/9,0.929375,8,9
80,RAM4,9/10,0.7275,9,10
81,RAM8,9/10,0.7675,9,10
82,RAM16,9/10,0.725,9,10
83,RAM24,9/10,0.72,9,10
84,All RAMs,9/10,0.735,9,10
85,VGG7,9/10,0.7725,9,10
86,VGG9,9/10,0.9475,9,10
87,VGG11,9/10,0.9325,9,10
88,VGG13,9/10,0.955,9,10
89,All CNNs,9/10,0.901875,9,10
